date,ci,coinc_indicators_index,e,employees,inc,ind_prod,ip,pers_inc,sa,sales
1/1/1985,0,65.1,0,96353,0,54.4731,0,5785.2,0,553230
2/1/1985,0.003067487,65.3,0.001286107,96477,0.001140192,54.7053,0.004253595,5791.8,0.003401471,555115
3/1/1985,0.003058106,65.5,0.003579931,96823,0.000207168,54.7653,0.001096185,5793,0.008715055,559974
4/1/1985,0,65.5,0.002011959,97018,0.001638567,54.6532,-0.002049014,5802.5,-0.001025573,559400
5/1/1985,0.003048783,65.7,0.002820238,97292,0.000878545,54.7041,0.000930894,5807.6,0.011519028,565881
6/1/1985,0,65.7,0.001489249,97437,0.003128924,54.7428,0.000707192,5825.8,-0.016678903,556521
7/1/1985,0,65.7,0.001937836,97626,-0.000206002,54.3679,-0.006871947,5824.6,0.001915433,557588
8/1/1985,0.004555817,66,0.001974981,97819,-0.00037778,54.5982,0.004227009,5822.4,0.018013285,567723
9/1/1985,0.003025721,66.2,0.002083313,98023,0.003942479,54.8353,0.004333232,5845.4,0.002680811,569247
10/1/1985,0,66.2,0.001905898,98210,0.005119116,54.6154,-0.004018253,5875.4,-0.009263729,563998
11/1/1985,0.003016594,66.4,0.002125832,98419,0.00146266,54.8013,0.003398022,5884,0.00729252,568126
12/1/1985,0.003007521,66.6,0.001705532,98587,0.00478121,55.3694,0.010313178,5912.2,-0.005358215,565090
1/1/1986,0.001500375,66.7,0.001246851,98710,-0.001421801,55.6384,0.004846516,5903.8,0.014919384,573584
2/1/1986,0,66.7,0.001083396,98817,0.00510231,55.2301,-0.007365516,5934,-0.005705035,570321
3/1/1986,0.002994014,66.9,0.000940691,98910,0.009409585,54.8869,-0.00623339,5990.1,0.000976166,570878
4/1/1986,0.002985077,67.1,0.001898914,99098,0.001917994,54.922,0.000639292,6001.6,0.019935609,582373
5/1/1986,0,67.1,0.001260583,99223,0.001149033,55.0222,0.001822743,6008.5,-0.009636355,576788
6/1/1986,0,67.1,-0.000937722,99130,0.000382718,54.845,-0.003225715,6010.8,0.006394348,580488
7/1/1986,0.004460974,67.4,0.003202774,99448,0.004266523,55.1881,0.006236325,6036.5,0.005891433,583918
8/1/1986,0.00148258,67.5,0.001135627,99561,0.001704833,55.0737,-0.002075062,6046.8,0.001418713,584747
9/1/1986,0.004434597,67.8,0.003469232,99907,0.001322139,55.1761,0.0018576,6054.8,0.023446061,598619
10/1/1986,0,67.8,0.001869991,100094,0.000462336,55.4285,0.004564013,6057.6,-0.014223177,590165
11/1/1986,0.00294551,68,0.001856529,100280,0.002621363,55.6897,0.004701309,6073.5,-0.003068252,588357
12/1/1986,0.004402061,68.3,0.002032238,100484,0.001398544,56.1765,0.008703309,6082,0.020718452,600674
1/1/1987,-0.002932553,68.1,0.001700317,100655,-0.000822436,55.9899,-0.003327203,6077,-0.032078597,581711
2/1/1987,0.007315322,68.6,0.002302251,100887,0.002678654,56.7106,0.012789825,6093.3,0.035435844,602694
3/1/1987,0.00291121,68.8,0.002465067,101136,0.002867891,56.804,0.001645604,6110.8,0.000960225,603273
4/1/1987,0.001452433,68.9,0.003336462,101474,-0.001293629,57.1561,0.006179375,6102.9,-0.002876797,601540
5/1/1987,0.002898553,69.1,0.002234528,101701,0.005930372,57.5384,0.00666643,6139.2,-0.001668779,600537
6/1/1987,0.002890175,69.3,0.001679987,101872,-0.000765865,57.8381,0.005195177,6134.5,0.004976465,603533
7/1/1987,0.004319661,69.6,0.003390664,102218,0.003222449,58.1952,0.006155149,6154.3,0.00863488,608767
8/1/1987,0.002869442,69.8,0.001661731,102388,0.005056819,58.6234,0.007331057,6185.5,-0.00441701,606084
9/1/1987,0.002861232,70,0.002234093,102617,0.00096954,58.789,0.002820828,6191.5,0.010959648,612763
10/1/1987,0.005698021,70.4,0.00478307,103109,0.007434141,59.6711,0.014893054,6237.7,-0.001152823,612057
