date,gdp,infl,irate,ser151,ser152,ser153,ser154,ser155,ser156,ser157,ser158,ser159,ser160,ser161,ser162,ser163,ser164,ser165,ser166,ser167,ser168,ser169,ser170,ser171,ser172,ser173,ser174,ser175,ser176,ser177,ser178,ser179
4/1/1995,-1.049820524,31.8,27,-2.086808651,0.940844172,-0.41363335,0.459986791,1.213929583,-0.569486559,1.13832037,-0.666402338,-1.549771202,0.493133147,-0.601727855,-0.266802841,0.219885255,-0.862979437,0.77005655,-0.33489081,0.472598633,0.749179616,1.435377087,1.668098109,-0.164140649,0.508713331,-0.12170009,-0.650206709,0.524407381,-0.31304652,1.882926629,-0.319330767,0.723867061
7/1/1995,2.073167436,25.9,25,-1.690114993,0.272193911,-0.978461195,-1.103968297,0.666127425,-0.619921125,0.86826839,-0.568956713,-1.066629101,-0.209581588,-0.639335846,-0.503960922,-0.076001483,-0.581124849,0.592184333,-0.712442869,0.667301236,0.253028332,1.06795116,1.331262333,-0.137603758,0.345198332,-0.343843095,-0.826144995,-0.635024562,0.342002067,0.599371539,0.324374993,-0.058396218
10/1/1995,-0.975156729,22.5,25,-2.836859683,0.177517768,-0.670567951,-0.183994716,-0.414138432,-1.229585496,0.495665026,-0.867580402,-1.241303553,-0.406834846,0,-1.363658967,-0.170106331,0.278141785,0.020245618,-1.098527179,0.022509463,0.021610953,0.989126066,1.325570913,-0.470201434,-0.370633998,-0.820469348,-0.592593456,-0.132167714,0.357275336,-0.678813248,0.366420425,0.507633763
1/1/1996,1.539381604,20.6,23,-2.213483936,0.106510661,-0.791188897,-1.149966977,-0.444815353,-0.907529102,0.006836759,-1.357951934,-0.167241497,-0.009246247,0.4136879,-1.630461808,-0.291818629,1.252955234,0.125088998,-1.644591175,1.145500595,-0.343974246,0.855632553,1.50010969,-0.112556782,0.272524999,-0.023954266,-0.936297661,-0.666255279,0.436977069,2.689437813,0.426041957,1.231394631
4/1/1996,-0.253198498,19.7,23,-1.860126561,0.082841625,-0.779842696,-0.781977544,-0.368123051,-0.333880103,-0.099133005,-1.681722881,0.609502343,0.46847649,0.601727855,-1.215435166,-0.092495813,0.235403725,0.673166806,-1.966683609,0.622936952,-0.523165245,0.457693354,1.397591709,0.621602041,-0.646792663,1.550428473,0,-0.694727726,0.787217339,1.875776524,0.808485,0.365862567
7/1/1996,-2.855404472,20.2,22,-1.406762381,0.248524876,0.767030723,-0.551984149,-0.122707684,0.280936242,0.006836759,-1.992920199,-0.338199471,0.040067068,0.752159819,-0.355737122,0.189803268,0.521007779,1.072294708,-1.86429661,-0.25529438,-0.198100313,0.606443694,1.429401938,0.262496075,0.603188664,-1.140773221,-0.508857424,-0.435445414,0.446426698,0.734195515,0.420434267,-0.561618663
10/1/1996,-5.393097377,18.8,22,-1.533437667,0.248524876,0.249383042,0.827976223,-0.173105482,0.824519548,0.317909293,-1.810602578,0.576054044,0.228074081,1.241063701,0,0.211713027,0.812127744,0.994204466,-1.636058925,1.009967611,0.138670192,1.046337735,1.584209305,0.205277737,-0.054505,-0.560240145,0,-0.44743015,0.53322366,0.438452475,0.538875844,0.458951482
1/1/1997,6.859105745,17.5,22,-1.640111591,0.710071073,0.440934295,-0.183994716,7.91E-18,0.630579992,0.840921354,-1.389386006,0.63180121,0.789013035,1.053023746,0.266802841,0.704665237,-0.873974081,1.18943007,-1.435551051,1.885023789,-0.018009218,1.320953748,2.009836336,0.624862192,-0.297960665,-0.499670372,0,-1.073550958,1.051652998,1.670139513,1.033296921,1.049423454
4/1/1997,-0.85325841,14.9,22,-1.450098663,0.692319296,0.964663571,1.103968297,0.644215338,0.698227026,1.00158519,-1.175634313,0.007432955,0.943117144,0.4136879,0.563250443,1.106525592,1.275745074,1.535051696,-1.011071617,1.096309886,0.542074829,1.61209783,1.724745313,0.783677948,0.850277996,-0.131397308,0,-0.98525023,0.861966271,-0.333902791,0.887508409,-0.140621593
7/1/1997,-2.406372012,14.3,24.5,-1.813456719,1.142030976,0.729495065,0.873974902,1.047397727,0.759668986,1.418627488,-0.6066776,-0.22670514,1.112631663,0.752159819,0.800408524,0.840083428,0.102854121,1.787398865,-0.488471309,1.705464598,0.955384306,1.932483178,1.890121568,0.503695555,0.65042633,0.841785503,0.886645512,-1.048814761,1.381228514,0.168545319,1.358117347,-0.852585091
