Date,RV,Return
20000103,0.00015724,-0.010103618
20000104,0.000298147,-0.039292183
20000105,0.000307226,0.001749195
20000106,0.000136238,0.00106212
20000107,9.27E-05,0.026022074
20000110,0.000117787,0.010537636
20000111,7.46E-05,-0.013183392
20000112,0.000128924,-0.004570545
20000113,0.000100003,0.012323819
20000114,0.000138071,0.009638298
20000118,0.000100673,-0.006470742
20000119,4.67E-05,0.00026798
20000120,0.000123904,-0.007528785
20000121,5.85E-05,-0.00326355
20000124,0.000206457,-0.028479363
20000125,0.000176353,0.005826606
20000126,6.84E-05,-0.0041646
20000127,0.000189558,-0.00390337
20000128,0.000282463,-0.026415509
20000131,0.00019816,0.024180347
20000201,0.00010717,0.01031621
20000202,0.000107626,0.000234135
20000203,0.00018591,0.010518462
20000204,7.47E-05,-0.000379027
20000207,5.52E-05,0.000126364
20000208,9.39E-05,0.0116504
20000209,9.33E-05,-0.0204969
20000210,0.000108797,0.002984845
20000211,0.000104844,-0.025997961
20000214,0.000105943,0.001951782
20000215,0.000126813,0.009067076
20000216,9.26E-05,-0.01030937
20000217,0.00017872,-0.000273878
20000218,0.000158349,-0.029503339
20000222,0.000193855,0.001673033
20000223,0.000121704,0.007126017
20000224,0.000287471,-0.005202051
20000225,0.000228607,-0.014257785
20000228,0.000210763,0.011046045
20000229,0.000135092,0.014427523
20000301,0.00010206,0.008743735
20000302,9.83E-05,0.002151123
20000303,0.000142639,0.019429916
20000306,7.23E-05,-0.013546064
20000307,0.000283106,-0.025522768
20000308,0.000155362,0.011653408
20000309,0.000102924,0.024030304
20000310,0.00013173,-0.004605041
20000313,0.000505251,-0.010107755
20000314,0.000166848,-0.015859184
20000315,0.000241603,0.019865381
20000316,0.000297171,0.045083991
20000320,9.21E-05,-0.005731774
20000321,0.000161235,0.024708854
20000322,7.87E-05,0.004261693
20000323,0.00015118,0.017085849
20000324,0.000156318,0.0009162
20000327,7.94E-05,-0.002654982
20000329,0.000156367,0.001034133
20000330,0.000248407,-0.012863115
20000331,0.000280516,0.010310128
20000403,0.000220282,0.00436128
20000404,0.001287638,-0.007980069
20000405,0.000517827,-0.004479051
20000406,0.000187628,0.008375645
20000407,0.000105537,0.009697455
20000410,0.000101442,-0.007420214
20000411,0.000261242,-0.003282304
20000412,0.000119575,-0.002254988
20000413,0.000378766,-0.0183451
20000414,0.001113511,-0.060443279
20000417,0.000688554,0.030433849
20000418,0.000254561,0.027399746
20000419,0.000164404,-0.009625746
20000420,7.82E-05,0.0040549
20000424,0.000522011,-0.004198297
20000425,0.000231947,0.032889986
20000426,0.00010743,-0.010881767
20000427,0.000393348,0.001873684
20000428,0.000142608,-0.008480001
20000501,0.000137315,0.01068335
20000502,0.000106567,-0.015394581
20000503,0.000257999,-0.021370485
20000504,0.000120322,-0.003709791
20000505,0.000128403,0.016059684
20000508,0.000130184,-0.006259823
20000509,0.00012658,-0.007435398
20000510,0.000273256,-0.021183897
20000511,0.000197067,0.017602025
20000512,8.44E-05,0.00906513
20000515,7.94E-05,0.021099445
20000516,0.000227696,0.008924775
20000517,0.000168243,-0.012112294
20000518,7.59E-05,-0.007195323
20000519,0.000217156,-0.021848261
20000522,0.000320578,-0.004880578
20000523,0.000175202,-0.018990946
20000524,0.000331808,0.018076214
20000525,0.000181161,-0.011936147
20000526,0.00019413,-0.002173882
20000530,0.000209349,0.03100165
20000531,0.000148903,-0.001540794
20000601,0.00013726,0.018820787
20000602,0.000315434,0.019344946
20000605,0.000111263,-0.006417527
20000606,7.26E-05,-0.006974244
20000607,7.81E-05,0.009496281
20000608,6.22E-05,-0.007305601
20000609,7.60E-05,-0.00278837
20000612,5.34E-05,-0.006887317
20000613,7.61E-05,0.015767159
20000614,9.05E-05,0.000789105
20000615,8.14E-05,0.005208981
20000616,5.18E-05,-0.008584618
20000619,5.45E-05,0.014830148
20000620,8.87E-05,-0.006555762
20000621,9.09E-05,0.001766791
20000622,9.64E-05,-0.017885635
20000623,8.28E-05,-0.00722903
20000626,8.11E-05,0.009569187
20000627,4.55E-05,-0.002476764
20000628,7.68E-05,0.003331111
20000629,0.000156336,-0.008386618
20000630,6.26E-05,0.00648893
20000705,7.17E-05,-0.015408604
20000706,6.01E-05,0.007302672
20000707,4.65E-05,0.015348392
20000710,4.32E-05,-0.001854447
20000711,8.12E-05,0.003051681
20000712,7.79E-05,0.007675347
20000713,3.57E-05,0.001826961
20000714,4.86E-05,0.008812272
20000717,2.52E-05,0.000324455
20000718,5.14E-05,-0.010602252
20000719,5.05E-05,-0.007425037
20000720,8.90E-05,0.009235475
20000721,4.01E-05,-0.010039732
20000724,5.27E-05,-0.010322041
20000725,9.51E-05,0.006297186
20000726,9.78E-05,-0.011596547
20000727,0.000131108,-0.001522757
20000728,0.000158264,-0.020884047
20000731,0.000109865,0.008010705
20000801,8.29E-05,0.004984656
20000802,7.57E-05,0.000827139
20000803,0.000145585,0.009332834
20000804,8.31E-05,0.006471004
20000807,4.32E-05,0.010803198
20000808,4.19E-05,0.002410364
20000809,6.73E-05,-0.006033813
20000810,4.58E-05,-0.008701103
20000811,5.80E-05,0.007300797
20000814,2.70E-05,0.012752614
20000815,3.61E-05,-0.004239444
20000816,3.90E-05,-0.00278609
20000817,4.90E-05,0.01026574
20000818,3.36E-05,-0.002529817
20000821,5.28E-05,0.004815032
20000822,3.93E-05,-0.000587042
20000823,3.61E-05,0.009359922
20000824,2.23E-05,0.001711716
20000825,2.30E-05,-0.000908714
20000828,3.44E-05,0.005566141
20000829,3.26E-05,-0.002585749
20000830,2.68E-05,-0.004274475
20000831,4.48E-05,0.010703927
20000901,7.63E-05,0.001823491
20000905,5.44E-05,-0.008737602
20000906,5.08E-05,-0.009574045
20000907,4.87E-05,0.006985097
20000908,4.71E-05,-0.006135214
20000911,7.44E-05,-0.003908599
20000912,5.24E-05,-0.005224264
20000913,0.00010819,0.001416011
20000914,7.13E-05,-0.002954033
20000915,5.42E-05,-0.009921632
20000918,6.33E-05,-0.014720904
20000919,0.00010067,0.010632025
20000920,0.000132255,-0.006025377
20000921,0.000126219,-0.001627407
20000922,0.00045925,-0.000483192
20000925,8.05E-05,-0.006426259
20000926,0.000106011,-0.007582373
20000927,0.000150012,-0.000785056
20000928,8.88E-05,0.022834653
20000929,0.000122277,-0.014706909
20001002,0.000115855,-0.000515267
20001003,0.000116626,-0.007225445
20001004,0.000180222,0.005627477
20001005,0.000101008,0.001414304
20001006,0.000177242,-0.019879078
20001009,9.88E-05,-0.005123144
20001010,0.000164745,-0.011737409
20001011,0.000413341,-0.016904637
20001012,0.000537032,-0.026419713
20001013,0.00017254,0.032188524
20001016,9.22E-05,-0.000393042
20001017,0.000144857,-0.017539546
20001018,0.000663483,-0.006398345
20001019,0.000344487,0.034095751
20001020,9.54E-05,0.005235558
20001023,8.85E-05,-0.000501224
20001024,0.000155383,0.001424711
20001025,0.000230831,-0.02392992
20001026,0.000297523,-0.000776915
20001027,0.000231348,0.010527487
20001030,0.000128032,0.013549621
20001031,0.000100013,0.021418275
20001101,0.000136453,-0.006266973
20001102,8.74E-05,0.004983271
20001103,6.27E-05,-0.001359162
20001106,3.41E-05,0.002397806
20001107,5.11E-05,0.000174543
20001108,0.000123059,-0.016129439
20001109,0.000345906,-0.006971051
20001110,0.000209572,-0.023982935
20001113,0.000395465,-0.010923439
20001114,0.000291714,0.023333246
20001115,0.000131379,0.004329167
20001116,0.000114545,-0.011957726
20001117,0.000291507,-0.002992113
20001120,0.000184162,-0.01897663
20001121,0.000122322,0.003457394
20001122,0.000255034,-0.018880501
20001124,0.000141682,0.014571619
20001127,0.000191732,0.006329746
20001128,0.000138249,-0.009848406
20001129,0.000191608,0.004607322
20001130,0.0004498,-0.021147436
20001201,0.000205794,-0.000319455
20001204,0.000190779,0.007537029
20001205,0.000212253,0.037202086
20001206,0.000195785,-0.019231503
20001207,9.77E-05,-0.005423647
20001208,0.000321175,0.020225036
20001211,8.88E-05,0.008844695
20001212,7.25E-05,-0.006301511
20001213,0.000190179,-0.008363469
20001214,0.00015194,-0.014449588
20001215,0.000244741,-0.012736158
20001218,0.000214477,0.007508985
20001219,0.000329295,-0.013201286
20001220,0.000477457,-0.031566868
20001221,0.000230074,0.007240043
20001222,0.000174237,0.023504594
20001226,8.28E-05,0.007346776
20001227,8.50E-05,0.010483259
20001228,5.50E-05,0.003695418
20001229,9.06E-05,-0.011078817
20010102,0.000194408,-0.029718933
20010103,0.001016852,0.048713349
20010104,0.000169793,-0.010841003
20010105,0.000239665,-0.026315608
20010109,0.000190918,0.003574239
20010110,0.000225235,0.009456986
20010111,7.42E-05,0.010295039
20010112,0.000109216,-0.006123533
20010116,7.90E-05,0.005589966
20010117,0.000155109,0.001453735
20010118,8.95E-05,0.013726057
20010119,0.000124419,-0.00390235
20010122,9.96E-05,0.000134065
20010123,7.68E-05,0.012211971
20010124,7.66E-05,0.002613459
20010125,8.09E-05,-0.004768369
20010126,8.87E-05,-0.002138549
20010129,4.75E-05,0.006943042
20010130,5.41E-05,0.006903406
20010131,0.000106998,-0.00627268
20010201,7.41E-05,0.00401095
20010202,6.72E-05,-0.018013872
20010205,5.55E-05,0.003476798
20010206,4.26E-05,-0.001544413
20010207,9.50E-05,-0.008577942
20010208,6.32E-05,-0.00648583
20010209,7.01E-05,-0.013143871
20010212,6.91E-05,0.01172779
20010213,6.87E-05,-0.009478672
20010214,8.87E-05,-0.002041816
20010215,8.01E-05,0.008030469
20010216,0.000236995,-0.018986443
20010220,7.85E-05,-0.0177122
20010221,0.000125303,-0.019286552
20010222,0.000347537,-0.002440699
20010223,0.000348191,-0.005876013
20010226,0.000130602,0.016825847
20010227,8.22E-05,-0.003071736
20010228,0.000216006,-0.014589915
20010301,0.000276229,0.000604685
20010302,0.00028322,0.00547951
20010305,8.05E-05,0.005655758
20010306,0.00018981,0.009947061
20010307,0.000128089,0.006138403
20010309,0.000228882,-0.025635345
20010312,0.000400021,-0.045200516
20010313,0.000278753,0.014176758
20010314,0.000911989,-0.026550457
20010315,0.000230375,0.005402323
20010316,0.000255026,-0.019601891
20010319,0.000131401,0.017515816
20010320,0.000271072,-0.024652043
20010322,0.000549048,-0.004600009
20010323,0.00033173,0.019538015
20010326,0.000190877,0.010802709
20010327,0.000125495,0.025151878
20010328,0.000379188,-0.025114595
20010329,0.000257122,-0.005137645
20010330,0.000216491,0.009320944
20010403,0.00028783,-0.035748866
20010404,0.000359058,-0.003966426
20010405,0.00045684,0.041223274
20010406,0.000473721,-0.021099236
20010409,0.000161716,0.007196467
20010410,0.000202029,0.026226773
20010411,0.000258965,-0.002244939
20010412,0.00018855,0.014205292
20010416,0.000113904,-0.004259163
20010417,0.00021188,0.009382135
20010419,0.000102064,0.012217495
20010420,0.000114009,-0.00893346
20010423,9.51E-05,-0.015559122
20010424,8.93E-05,-0.012095464
20010425,0.000120044,0.015912801
20010426,0.000103542,0.005170739
20010427,0.000175495,0.013900285
20010430,9.54E-05,-0.002917143
20010501,7.89E-05,0.012977075
20010502,0.000120275,0.000473657
20010503,0.000165658,-0.015064417
20010504,0.000260496,0.014352925
20010507,8.05E-05,-0.003155113
20010508,6.83E-05,-0.004494141
20010509,0.000127593,-0.004752793
20010510,0.000116428,-7.96E-06
20010511,8.01E-05,-0.008151491
20010514,3.43E-05,0.002205214
20010515,0.000100489,-0.000128119
20010516,0.000119015,0.027853129
20010517,9.73E-05,0.003100272
20010518,5.89E-05,0.002588828
20010521,6.55E-05,0.015872313
20010522,6.57E-05,-0.003211966
20010523,7.89E-05,-0.015811154
