date,D2000s,Dfincris,ipr,sr,su,y
1/1/1985,0,0,0.279403768,6.961191338,-0.529100529,0.984343759
4/1/1985,0,0,0.091098505,4.223191321,-0.212089077,0.907185635
7/1/1985,0,0,-0.1680275,2.042327862,-1.61637931,1.531874559
10/1/1985,0,0,0.595975345,4.189470351,-1.866081229,0.744597429
1/1/1986,0,0,0.580923683,11.04880104,4.607329843,0.918345311
4/1/1986,0,0,-0.591463759,9.111485919,1.342975207,0.456965696
7/1/1986,0,0,0.405470128,0.249718151,-2.109704641,0.996536708
10/1/1986,0,0,1.092054879,0.984213839,-3.043478261,0.515086058
1/1/1987,0,0,1.310609723,13.76797824,-1.657458564,0.694374522
4/1/1987,0,0,1.723795866,4.88923361,1.416122004,1.110058369
7/1/1987,0,0,1.802608553,8.412171605,2.236421725,0.898807127
10/1/1987,0,0,2.39283933,-22.18867742,-8.680555556,1.623743908
1/1/1988,0,0,0.89795662,1.080116036,6.39219935,0.559241972
4/1/1988,0,0,0.821718822,1.836864446,1.388888889,1.304051951
7/1/1988,0,0,0.396167658,1.325783582,2.5,0.573904231
10/1/1988,0,0,0.701483558,3.025888406,-3.225806452,1.30728093
1/1/1989,0,0,0.446840075,5.53883753,3.023983316,0.998665051
4/1/1989,0,0,-0.354137135,7.619184133,-5.500550055,0.780209683
7/1/1989,0,0,-0.666352462,8.705354654,1.72972973,0.740968963
10/1/1989,0,0,0.403299159,0.931212559,-0.762527233,0.211135756
1/1/1990,0,0,0.673873798,-2.581760737,-0.547645126,1.083017804
4/1/1990,0,0,0.777168067,3.853128005,-0.440044004,0.385204315
7/1/1990,0,0,0.398276791,-4.059242782,-14.91782554,0.024688486
10/1/1990,0,0,-1.579563656,-5.923993799,-21.50537634,-0.859760627
1/1/1991,0,0,-1.948154875,10.69154766,13.2,-0.471475926
4/1/1991,0,0,0.605083886,7.221969475,7.063197026,0.770082623
7/1/1991,0,0,1.320025652,1.804203267,2.300242131,0.477718571
10/1/1991,0,0,0.202185413,0.402821423,-14.88178025,0.434672472
1/1/1992,0,0,-0.130110772,6.223052281,-1.553672316,1.167451318
4/1/1992,0,0,1.715389999,-0.464779335,10.2661597,1.090632723
7/1/1992,0,0,0.742630529,1.706434128,-3.679369251,0.962750966
10/1/1992,0,0,1.055328189,1.562482135,8.533653846,0.992076992
1/1/1993,0,0,0.886506705,4.400948127,4.696449026,0.186087426
4/1/1993,0,0,0.206414293,0.620442455,-5.818181818,0.591143179
7/1/1993,0,0,0.400403789,1.791437932,-6.589147287,0.48529671
10/1/1993,0,0,1.488039293,2.334550901,7.857142857,1.31736553
1/1/1994,0,0,1.239188726,1.05875537,9.677419355,0.97092209
4/1/1994,0,0,1.802707737,-3.921688066,-0.867678959,1.348272671
7/1/1994,0,0,1.285238479,2.181901589,-1.653803749,0.586247712
10/1/1994,0,0,1.994376149,-0.242213047,2.577873255,1.122733628
1/1/1995,0,0,1.068428384,4.351799504,1.272534464,0.340640583
4/1/1995,0,0,0.365356468,8.758060298,-2.835332606,0.34818786
7/1/1995,0,0,0.959336837,7.412874768,1.60944206,0.848779853
10/1/1995,0,0,0.83115195,5.573899992,-3.786191537,0.70491456
1/1/1996,0,0,0.661100274,6.370912006,0.773480663,0.651724938
4/1/1996,0,0,2.020165468,3.458568068,1.092896175,1.716036625
7/1/1996,0,0,1.214353521,0.188923856,3.582718651,0.916543095
10/1/1996,0,0,1.329628454,9.496997357,2.666666667,1.045520105
1/1/1997,0,0,1.878402473,7.799505327,1.515151515,0.756415266
4/1/1997,0,0,1.508808431,4.819792817,3.883495146,1.486159603
7/1/1997,0,0,2.30496935,12.1573556,2.646502836,1.257307053
10/1/1997,0,0,2.46516742,2.278780418,-0.761904762,0.769968482
1/1/1998,0,0,1.088751707,7.267016191,2.597402597,0.979724317
4/1/1998,0,0,0.619405191,8.123263941,-0.841908326,0.960542019
7/1/1998,0,0,0.679207877,-2.240566207,-3.285024155,1.2913076
