date,D2000s,Dea,ea_esi,ea_gdp,ea_ip,ea_prodpr,eurostoxx,ipr,pr,sr,su,y,ipr1,sr1,su1,y1
1/1/1996,0,0,94.56666667,1493012.4,86.55,77.13,49.3,-0.426587377,0.4,8.2411976,-4.007444687,-0.019040226,0,0,0,0
4/1/1996,0,0,93.2,1504560.2,86.36,77.15,51.8,-0.219767598,0.133333333,4.946606822,-1.455733149,0.770480563,-0.426587377,8.2411976,-4.007444687,-0.019040226
7/1/1996,0,0,94.33333333,1512777.8,86.65,77.09,50.9,0.335241052,0.066666667,-1.752722571,1.208688725,0.54469339,-0.219767598,4.946606822,-1.455733149,0.770480563
10/1/1996,0,0,97.7,1517438.5,86.98,77.4,54.6,0.380119101,0.133333333,7.017095919,3.506695011,0.307615247,0.335241052,-1.752722571,1.208688725,0.54469339
1/1/1997,0,0,100.3666667,1522743.6,87.99,77.62,62.7,1.154496449,0.233333333,13.83275649,2.69285881,0.348999186,0.380119101,7.017095919,3.506695011,0.307615247
4/1/1997,0,0,103.3666667,1541912.4,89.67,77.86,67.9,1.891309331,0.066666667,7.967458693,2.945239061,1.250975639,1.154496449,13.83275649,2.69285881,0.348999186
7/1/1997,0,0,106.7333333,1551992.4,90.97,78.21,76.8,1.439351687,0.133333333,12.31686056,3.205097382,0.651606065,1.891309331,7.967458693,2.945239061,1.250975639
10/1/1997,0,0,109.1,1567436.8,92.26,78.31,75.2,1.40808963,0.1,-2.10534092,2.193138126,0.990214889,1.439351687,12.31686056,3.205097382,0.651606065
1/1/1998,0,0,111.6,1576976.4,93.39,78.11,86.6,1.217359499,0.1,14.11485846,2.265615711,0.606766901,1.40808963,-2.10534092,2.193138126,0.990214889
4/1/1998,0,0,112.8,1583786.2,93.88,77.96,103.1,0.523309786,0.166666667,17.43995755,1.069528912,0.430896679,1.217359499,14.11485846,2.265615711,0.606766901
7/1/1998,0,0,112.2333333,1592665.8,93.79,77.56,100.5,-0.095913046,0,-2.554166352,-0.503630186,0.559090654,0.523309786,17.43995755,1.069528912,0.430896679
10/1/1998,0,0,108.3333333,1597018.1,93.22,76.93,91.6,-0.609594958,0.033333333,-9.272645582,-3.536714385,0.272898684,-0.095913046,-2.554166352,-0.503630186,0.559090654
1/1/1999,0,0,105.7333333,1610156,93.38,76.47,103.9,0.17148986,0.133333333,12.59976264,-2.429269258,0.819286579,-0.609594958,-9.272645582,-3.536714385,0.272898684
4/1/1999,0,0,104.8666667,1621423.8,93.86,76.94,108.4,0.512712082,0.166666667,4.23991909,-0.82304985,0.697358342,0.17148986,12.59976264,-2.429269258,0.819286579
7/1/1999,0,0,106.5333333,1638917.2,95.28,77.66,110.2,1.501561468,0.133333333,1.646880771,1.576822264,1.073112774,0.512712082,4.23991909,-0.82304985,0.697358342
