date,rcpi
1/1/1985,0.17212
4/1/1985,0.25087
7/1/1985,0.20786
10/1/1985,0.38591
1/1/1986,0.35321
4/1/1986,0.17249
7/1/1986,-0.0945
10/1/1986,-0.09155
1/1/1987,0.36591
4/1/1987,0.20098
7/1/1987,-0.00657
10/1/1987,0.76752
1/1/1988,0.179
4/1/1988,0.22874
7/1/1988,0.20709
10/1/1988,0.26188
1/1/1989,0.54384
4/1/1989,0.41038
7/1/1989,0.10769
10/1/1989,0.16291
1/1/1990,0.15113
4/1/1990,0.37019
7/1/1990,0.24927
10/1/1990,-0.10795
1/1/1991,-0.17231
4/1/1991,-0.20997
7/1/1991,-0.00507
10/1/1991,0.33021
1/1/1992,0.02727
4/1/1992,0.23904
7/1/1992,0.21119
10/1/1992,0.23843
1/1/1993,0.40276
4/1/1993,0.26832
7/1/1993,0.06292
10/1/1993,0.15598
1/1/1994,0.50523
4/1/1994,0.90485
7/1/1994,0.56041
10/1/1994,0.80091
1/1/1995,0.65862
4/1/1995,0.37721
7/1/1995,0.08211
10/1/1995,0.16493
1/1/1996,0.03163
4/1/1996,0.26774
7/1/1996,0.62015
10/1/1996,0.32778
1/1/1997,0.43189
4/1/1997,1.03888
7/1/1997,0.75428
10/1/1997,0.86976
1/1/1998,1.17202
4/1/1998,0.43242
7/1/1998,0.60576
10/1/1998,0.65481
1/1/1999,0.89433
4/1/1999,0.41067
7/1/1999,0.44552
10/1/1999,0.9908
1/1/2000,0.18741
4/1/2000,1.01007
7/1/2000,0.63074
10/1/2000,0.5811
1/1/2001,-0.34837
4/1/2001,-0.10665
7/1/2001,-0.30834
10/1/2001,-0.90747
1/1/2002,-0.1505
4/1/2002,0.13413
7/1/2002,0.19823
10/1/2002,0.32889
1/1/2003,0.3154
4/1/2003,-0.03491
7/1/2003,0.02961
10/1/2003,0.38347
1/1/2004,0.52379
4/1/2004,0.78658
7/1/2004,0.62691
10/1/2004,0.71577
1/1/2005,0.9143
4/1/2005,0.15543
7/1/2005,0.11807
10/1/2005,0.8103
1/1/2006,0.65813
4/1/2006,0.72544
7/1/2006,0.6751
10/1/2006,0.31825
1/1/2007,0.17324
4/1/2007,0.44868
7/1/2007,0.36093
10/1/2007,0.12617
1/1/2008,-0.12497
4/1/2008,-0.14172
7/1/2008,-0.38131
10/1/2008,-0.80265
1/1/2009,-1.50237
4/1/2009,-1.85516
7/1/2009,-1.81516
10/1/2009,-0.38783
1/1/2010,0.30499
4/1/2010,0.3322
7/1/2010,0.94908
10/1/2010,0.45029
1/1/2011,0.30344
4/1/2011,0.2754
7/1/2011,-0.04326
10/1/2011,0.70532
1/1/2012,0.56948
4/1/2012,0.41404
7/1/2012,0.60281
10/1/2012,0.19959
