date,r,Dr
1/1/1985,8.35,0
2/1/1985,8.5,0.15
3/1/1985,8.58,0.08
4/1/1985,8.27,-0.31
5/1/1985,7.97,-0.3
6/1/1985,7.53,-0.44
7/1/1985,7.88,0.35
8/1/1985,7.9,0.02
9/1/1985,7.92,0.02
10/1/1985,7.99,0.07
11/1/1985,8.05,0.06
12/1/1985,8.27,0.22
1/1/1986,8.14,-0.13
2/1/1986,7.86,-0.28
3/1/1986,7.48,-0.38
4/1/1986,6.99,-0.49
5/1/1986,6.85,-0.14
6/1/1986,6.92,0.07
7/1/1986,6.56,-0.36
8/1/1986,6.17,-0.39
9/1/1986,5.89,-0.28
10/1/1986,5.85,-0.04
11/1/1986,6.04,0.19
12/1/1986,6.91,0.87
1/1/1987,6.43,-0.48
2/1/1987,6.1,-0.33
3/1/1987,6.13,0.03
4/1/1987,6.37,0.24
5/1/1987,6.85,0.48
6/1/1987,6.73,-0.12
7/1/1987,6.58,-0.15
8/1/1987,6.73,0.15
9/1/1987,7.22,0.49
10/1/1987,7.29,0.07
11/1/1987,6.69,-0.6
12/1/1987,6.77,0.08
1/1/1988,6.83,0.06
2/1/1988,6.58,-0.25
3/1/1988,6.58,0
4/1/1988,6.87,0.29
5/1/1988,7.09,0.22
6/1/1988,7.51,0.42
7/1/1988,7.75,0.24
8/1/1988,8.01,0.26
9/1/1988,8.19,0.18
10/1/1988,8.3,0.11
11/1/1988,8.35,0.05
12/1/1988,8.76,0.41
1/1/1989,9.12,0.36
2/1/1989,9.36,0.24
3/1/1989,9.85,0.49
4/1/1989,9.84,-0.01
5/1/1989,9.81,-0.03
6/1/1989,9.53,-0.28
7/1/1989,9.24,-0.29
8/1/1989,8.99,-0.25
9/1/1989,9.02,0.03
10/1/1989,8.84,-0.18
11/1/1989,8.55,-0.29
12/1/1989,8.45,-0.1
1/1/1990,8.23,-0.22
2/1/1990,8.24,0.01
3/1/1990,8.28,0.04
4/1/1990,8.26,-0.02
5/1/1990,8.18,-0.08
6/1/1990,8.29,0.11
7/1/1990,8.15,-0.14
8/1/1990,8.13,-0.02
9/1/1990,8.2,0.07
10/1/1990,8.11,-0.09
11/1/1990,7.81,-0.3
12/1/1990,7.31,-0.5
1/1/1991,6.91,-0.4
2/1/1991,6.25,-0.66
3/1/1991,6.12,-0.13
4/1/1991,5.91,-0.21
5/1/1991,5.78,-0.13
6/1/1991,5.9,0.12
7/1/1991,5.82,-0.08
8/1/1991,5.66,-0.16
9/1/1991,5.45,-0.21
10/1/1991,5.21,-0.24
11/1/1991,4.81,-0.4
12/1/1991,4.43,-0.38
1/1/1992,4.03,-0.4
2/1/1992,4.06,0.03
3/1/1992,3.98,-0.08
4/1/1992,3.73,-0.25
5/1/1992,3.82,0.09
6/1/1992,3.76,-0.06
7/1/1992,3.25,-0.51
8/1/1992,3.3,0.05
9/1/1992,3.22,-0.08
10/1/1992,3.1,-0.12
11/1/1992,3.09,-0.01
12/1/1992,2.92,-0.17
1/1/1993,3.02,0.1
2/1/1993,3.03,0.01
3/1/1993,3.07,0.04
4/1/1993,2.96,-0.11
5/1/1993,3,0.04
6/1/1993,3.04,0.04
7/1/1993,3.06,0.02
8/1/1993,3.03,-0.03
9/1/1993,3.09,0.06
10/1/1993,2.99,-0.1
11/1/1993,3.02,0.03
12/1/1993,2.96,-0.06
1/1/1994,3.05,0.09
2/1/1994,3.25,0.2
3/1/1994,3.34,0.09
4/1/1994,3.56,0.22
5/1/1994,4.01,0.45
6/1/1994,4.25,0.24
7/1/1994,4.26,0.01
8/1/1994,4.47,0.21
9/1/1994,4.73,0.26
10/1/1994,4.76,0.03
11/1/1994,5.29,0.53
12/1/1994,5.45,0.16
1/1/1995,5.53,0.08
2/1/1995,5.92,0.39
3/1/1995,5.98,0.06
4/1/1995,6.05,0.07
5/1/1995,6.01,-0.04
6/1/1995,6,-0.01
7/1/1995,5.85,-0.15
8/1/1995,5.74,-0.11
9/1/1995,5.8,0.06
10/1/1995,5.76,-0.04
11/1/1995,5.8,0.04
12/1/1995,5.6,-0.2
1/1/1996,5.56,-0.04
2/1/1996,5.22,-0.34
3/1/1996,5.31,0.09
4/1/1996,5.22,-0.09
5/1/1996,5.24,0.02
6/1/1996,5.27,0.03
7/1/1996,5.4,0.13
8/1/1996,5.22,-0.18
9/1/1996,5.3,0.08
10/1/1996,5.24,-0.06
11/1/1996,5.31,0.07
12/1/1996,5.29,-0.02
1/1/1997,5.25,-0.04
2/1/1997,5.19,-0.06
3/1/1997,5.39,0.2
4/1/1997,5.51,0.12
5/1/1997,5.5,-0.01
6/1/1997,5.56,0.06
7/1/1997,5.52,-0.04
8/1/1997,5.54,0.02
9/1/1997,5.54,0
10/1/1997,5.5,-0.04
11/1/1997,5.52,0.02
12/1/1997,5.5,-0.02
1/1/1998,5.56,0.06
2/1/1998,5.51,-0.05
3/1/1998,5.49,-0.02
4/1/1998,5.45,-0.04
5/1/1998,5.49,0.04
6/1/1998,5.56,0.07
7/1/1998,5.54,-0.02
8/1/1998,5.55,0.01
9/1/1998,5.51,-0.04
10/1/1998,5.07,-0.44
11/1/1998,4.83,-0.24
12/1/1998,4.68,-0.15
1/1/1999,4.63,-0.05
2/1/1999,4.76,0.13
3/1/1999,4.81,0.05
4/1/1999,4.74,-0.07
5/1/1999,4.74,0
6/1/1999,4.76,0.02
7/1/1999,4.99,0.23
8/1/1999,5.07,0.08
9/1/1999,5.22,0.15
10/1/1999,5.2,-0.02
11/1/1999,5.42,0.22
12/1/1999,5.3,-0.12
1/1/2000,5.45,0.15
2/1/2000,5.73,0.28
3/1/2000,5.85,0.12
4/1/2000,6.02,0.17
5/1/2000,6.27,0.25
6/1/2000,6.53,0.26
7/1/2000,6.54,0.01
8/1/2000,6.5,-0.04
9/1/2000,6.52,0.02
10/1/2000,6.51,-0.01
11/1/2000,6.51,0
12/1/2000,6.4,-0.11
1/1/2001,5.98,-0.42
2/1/2001,5.49,-0.49
3/1/2001,5.31,-0.18
4/1/2001,4.8,-0.51
5/1/2001,4.21,-0.59
6/1/2001,3.97,-0.24
7/1/2001,3.77,-0.2
8/1/2001,3.65,-0.12
9/1/2001,3.07,-0.58
10/1/2001,2.49,-0.58
11/1/2001,2.09,-0.4
12/1/2001,1.82,-0.27
1/1/2002,1.73,-0.09
2/1/2002,1.74,0.01
3/1/2002,1.73,-0.01
4/1/2002,1.75,0.02
5/1/2002,1.75,0
6/1/2002,1.75,0
7/1/2002,1.73,-0.02
8/1/2002,1.74,0.01
9/1/2002,1.75,0.01
10/1/2002,1.75,0
11/1/2002,1.34,-0.41
12/1/2002,1.24,-0.1
1/1/2003,1.24,0
2/1/2003,1.26,0.02
3/1/2003,1.25,-0.01
4/1/2003,1.26,0.01
5/1/2003,1.26,0
6/1/2003,1.22,-0.04
7/1/2003,1.01,-0.21
8/1/2003,1.03,0.02
9/1/2003,1.01,-0.02
10/1/2003,1.01,0
11/1/2003,1,-0.01
12/1/2003,0.98,-0.02
1/1/2004,1,0.02
2/1/2004,1.01,0.01
3/1/2004,1,-0.01
4/1/2004,1,0
5/1/2004,1,0
6/1/2004,1.03,0.03
7/1/2004,1.26,0.23
8/1/2004,1.43,0.17
9/1/2004,1.61,0.18
10/1/2004,1.76,0.15
11/1/2004,1.93,0.17
12/1/2004,2.16,0.23
1/1/2005,2.28,0.12
2/1/2005,2.5,0.22
3/1/2005,2.63,0.13
4/1/2005,2.79,0.16
5/1/2005,3,0.21
6/1/2005,3.04,0.04
7/1/2005,3.26,0.22
8/1/2005,3.5,0.24
9/1/2005,3.62,0.12
10/1/2005,3.78,0.16
11/1/2005,4,0.22
12/1/2005,4.16,0.16
1/1/2006,4.29,0.13
2/1/2006,4.49,0.2
3/1/2006,4.59,0.1
4/1/2006,4.79,0.2
5/1/2006,4.94,0.15
6/1/2006,4.99,0.05
7/1/2006,5.24,0.25
8/1/2006,5.25,0.01
9/1/2006,5.25,0
10/1/2006,5.25,0
11/1/2006,5.25,0
12/1/2006,5.24,-0.01
1/1/2007,5.25,0.01
2/1/2007,5.26,0.01
3/1/2007,5.26,0
4/1/2007,5.25,-0.01
5/1/2007,5.25,0
6/1/2007,5.25,0
7/1/2007,5.26,0.01
8/1/2007,5.02,-0.24
9/1/2007,4.94,-0.08
10/1/2007,4.76,-0.18
11/1/2007,4.49,-0.27
12/1/2007,4.24,-0.25
1/1/2008,3.94,-0.3
2/1/2008,2.98,-0.96
3/1/2008,2.61,-0.37
4/1/2008,2.28,-0.33
5/1/2008,1.98,-0.3
6/1/2008,2,0.02
7/1/2008,2.01,0.01
8/1/2008,2,-0.01
9/1/2008,1.81,-0.19
10/1/2008,0.97,-0.84
11/1/2008,0.39,-0.58
12/1/2008,0.16,-0.23
1/1/2009,0.15,-0.01
2/1/2009,0.22,0.07
3/1/2009,0.18,-0.04
4/1/2009,0.15,-0.03
5/1/2009,0.18,0.03
6/1/2009,0.21,0.03
7/1/2009,0.16,-0.05
8/1/2009,0.16,0
9/1/2009,0.15,-0.01
10/1/2009,0.12,-0.03
11/1/2009,0.12,0
12/1/2009,0.12,0
1/1/2010,0.11,-0.01
2/1/2010,0.13,0.02
3/1/2010,0.16,0.03
4/1/2010,0.2,0.04
5/1/2010,0.2,0
6/1/2010,0.18,-0.02
7/1/2010,0.18,0
8/1/2010,0.19,0.01
9/1/2010,0.19,0
10/1/2010,0.19,0
11/1/2010,0.19,0
12/1/2010,0.18,-0.01
1/1/2011,0.17,-0.01
2/1/2011,0.16,-0.01
3/1/2011,0.14,-0.02
4/1/2011,0.1,-0.04
5/1/2011,0.09,-0.01
6/1/2011,0.09,0
7/1/2011,0.07,-0.02
8/1/2011,0.1,0.03
9/1/2011,0.08,-0.02
10/1/2011,0.07,-0.01
11/1/2011,0.08,0.01
12/1/2011,0.07,-0.01
1/1/2012,0.08,0.01
2/1/2012,0.1,0.02
3/1/2012,0.13,0.03
4/1/2012,0.14,0.01
5/1/2012,0.16,0.02
6/1/2012,0.16,0
7/1/2012,0.16,0
8/1/2012,0.13,-0.03
9/1/2012,0.14,0.01
10/1/2012,0.16,0.02
11/1/2012,0.16,0
12/1/2012,0.16,0
