date,d_1987m05,d_1988m07,d_1992m10,r1,r24,r3,r6,real_ex
1/1/1985,0,0,0,11.6757,11.4575,11.68,11.48,88.12
2/1/1985,0,0,0,14.0873,12.5523,13.78,13.05,88.25
3/1/1985,0,0,0,14.0788,12.4538,13.63,12.85,91.44
4/1/1985,0,0,0,13.0485,11.95,12.76,12.32,98.13
5/1/1985,0,0,0,12.7395,12.1936,12.66,12.46,99.45
6/1/1985,0,0,0,12.6545,11.9893,12.44,12.21,101.12
7/1/1985,0,0,0,12.3993,11.5937,12.04,11.83,104.66
8/1/1985,0,0,0,11.7402,11.0133,11.5,11.2,102.68
9/1/1985,0,0,0,11.6683,11.2093,11.55,11.35,102.13
10/1/1985,0,0,0,11.6852,11.1687,11.55,11.35,100.92
11/1/1985,0,0,0,11.5869,11.3079,11.57,11.46,100.76
12/1/1985,0,0,0,11.672,11.5253,11.76,11.67,99.48
1/1/1986,0,0,0,12.608,12.6491,12.83,12.78,95.99
2/1/1986,0,0,0,12.7415,12.289,12.67,12.46,93.34
3/1/1986,0,0,0,12.2221,11.0937,11.78,11.34,94.02
4/1/1986,0,0,0,11.0695,9.7327,10.5,10.02,96.86
5/1/1986,0,0,0,10.4528,9.6343,10.21,9.9,96.94
6/1/1986,0,0,0,10.0093,9.5681,9.77,9.61,96.51
7/1/1986,0,0,0,10.0543,9.887,9.97,9.91,93.78
8/1/1986,0,0,0,9.973,9.7608,9.86,9.77,90.47
9/1/1986,0,0,0,10.0116,10.2155,10.13,10.15,89.13
10/1/1986,0,0,0,10.8085,11.1293,11.09,11.14,85.73
11/1/1986,0,0,0,10.9253,11.1888,11.19,11.2,87.29
12/1/1986,0,0,0,11.1112,11.361,11.31,11.37,87.36
1/1/1987,0,0,0,11.1086,10.8629,11.05,10.9,87.28
2/1/1987,0,0,0,11.087,10.558,10.82,10.61,87.48
3/1/1987,0,0,0,10.3339,9.6689,9.95,9.74,91.14
4/1/1987,0,0,0,9.8873,9.5858,9.78,9.63,92.65
5/1/1987,1,0,0,8.8484,8.9505,8.82,8.84,93.7
6/1/1987,0,0,0,8.9075,9.0695,8.89,8.91,92.68
7/1/1987,0,0,0,9.0017,9.5272,9.19,9.34,92.55
8/1/1987,0,0,0,9.5998,10.4375,10.05,10.22,92.25
9/1/1987,0,0,0,9.8325,10.5809,10.16,10.37,93.01
10/1/1987,0,0,0,9.7527,10.2755,9.96,10.13,93.78
11/1/1987,0,0,0,9.0017,9.0433,8.94,8.95,96.11
12/1/1987,0,0,0,8.6029,9.1905,8.77,8.93,96.16
1/1/1988,0,0,0,8.5515,9.484,8.93,9.16,95.01
2/1/1988,0,0,0,8.8126,9.6974,9.27,9.41,94.69
3/1/1988,0,0,0,8.7052,9.318,8.89,9.03,97.74
4/1/1988,0,0,0,8.1558,8.9342,8.3,8.51,100.54
5/1/1988,0,0,0,7.6438,9.0135,8.03,8.47,101.07
6/1/1988,0,0,0,8.4134,9.6493,8.93,9.25,98.7
7/1/1988,0,1,0,10.0967,10.7569,10.55,10.64,97.97
8/1/1988,0,0,0,10.9055,11.4355,11.4,11.41,99.34
9/1/1988,0,0,0,11.6464,12.1664,12.15,12.22,98.17
10/1/1988,0,0,0,11.9086,11.7117,12.02,11.94,99.46
11/1/1988,0,0,0,12.027,12.1991,12.33,12.25,100.55
12/1/1988,0,0,0,12.902,12.922,13.15,13.09,101.54
1/1/1989,0,0,0,13.0612,12.705,13.12,12.95,101.34
2/1/1989,0,0,0,12.9618,12.676,13.02,12.91,100.85
3/1/1989,0,0,0,12.919,12.904,13.03,13.03,99.25
4/1/1989,0,0,0,12.7388,13.128,13.13,13.18,99.37
5/1/1989,0,0,0,12.8617,13.1145,13.14,13.2,98.05
6/1/1989,0,0,0,13.8632,14.1516,14.15,14.29,95.23
7/1/1989,0,0,0,13.9088,13.6454,13.9,13.81,96.09
8/1/1989,0,0,0,13.8489,13.3648,13.85,13.73,95.25
9/1/1989,0,0,0,13.9786,13.7964,14.02,13.99,95.1
10/1/1989,0,0,0,14.99,14.667,15.02,14.91,93.8
11/1/1989,0,0,0,15.0445,14.5286,15.11,14.94,92.08
12/1/1989,0,0,0,15.0924,14.6287,15.12,15,90.68
1/1/1990,0,0,0,15.0869,14.9233,15.16,15.12,91.92
2/1/1990,0,0,0,15.0358,15.153,15.11,15.13,93.88
3/1/1990,0,0,0,15.0677,15.6116,15.29,15.46,91.18
4/1/1990,0,0,0,14.9766,15.68,15.21,15.45,92.64
5/1/1990,0,0,0,15.0651,15.3355,15.15,15.26,94.22
6/1/1990,0,0,0,14.9055,14.789,14.97,14.97,97.04
7/1/1990,0,0,0,14.9414,14.5609,14.95,14.86,99.94
8/1/1990,0,0,0,14.9907,14.5736,15,14.89,102.63
9/1/1990,0,0,0,14.949,14.4435,14.91,14.81,101.19
10/1/1990,0,0,0,14.1283,13.325,14.03,13.78,102.59
11/1/1990,0,0,0,14.0939,12.5895,13.64,13.12,102.16
12/1/1990,0,0,0,14.2697,12.6292,13.81,13.18,100.85
1/1/1991,0,0,0,14.1011,12.9598,13.97,13.5,101.27
2/1/1991,0,0,0,13.704,12.1918,13.25,12.72,101.37
3/1/1991,0,0,0,12.832,11.5878,12.4,11.9,99.81
4/1/1991,0,0,0,12.1431,11.3888,11.95,11.64,102.47
5/1/1991,0,0,0,11.851,11.1121,11.53,11.26,101.98
6/1/1991,0,0,0,11.5028,10.8743,11.24,10.99,100.67
7/1/1991,0,0,0,11.1957,10.7761,11.09,10.87,100.13
8/1/1991,0,0,0,10.9993,10.6752,10.89,10.73,100.62
9/1/1991,0,0,0,10.5693,10.1526,10.29,10.17,101.35
10/1/1991,0,0,0,10.5648,10.2239,10.4,10.27,100.69
11/1/1991,0,0,0,10.5067,10.3657,10.48,10.38,101.33
12/1/1991,0,0,0,10.8523,10.6853,10.78,10.72,101.61
1/1/1992,0,0,0,10.6725,10.4591,10.65,10.52,100.3
2/1/1992,0,0,0,10.5008,10.1653,10.37,10.25,100.41
3/1/1992,0,0,0,10.5798,10.6468,10.62,10.67,99.5
4/1/1992,0,0,0,10.5513,10.565,10.62,10.58,101.46
5/1/1992,0,0,0,10.0411,9.9779,10.06,10.03,103.21
6/1/1992,0,0,0,9.9932,9.9355,9.98,9.97,103.53
7/1/1992,0,0,0,10.0989,10.1059,10.15,10.16,102.58
8/1/1992,0,0,0,10.0963,10.485,10.35,10.44,102.03
9/1/1992,0,0,0,10.0936,9.7909,9.99,9.92,97.47
10/1/1992,0,0,1,8.8445,7.6414,8.32,7.93,89.59
11/1/1992,0,0,0,7.4333,6.599,7.21,6.83,86.72
12/1/1992,0,0,0,7.2,6.8348,7.15,6.96,88.47
1/1/1993,0,0,0,7.041,6.5525,6.94,6.71,87.83
2/1/1993,0,0,0,6.3083,5.6993,6.16,5.87,83.76
3/1/1993,0,0,0,6.0952,5.731,5.98,5.82,85.51
4/1/1993,0,0,0,5.9305,6.0638,5.98,5.99,88.87
5/1/1993,0,0,0,5.8992,6.1568,5.97,6.02,89.11
6/1/1993,0,0,0,5.883,5.9249,5.89,5.88,88.06
7/1/1993,0,0,0,5.972,5.8386,5.95,5.88,89.22
8/1/1993,0,0,0,5.91,5.5905,5.84,5.68,89.13
9/1/1993,0,0,0,5.9402,5.7266,5.91,5.8,89.35
10/1/1993,0,0,0,5.8662,5.5679,5.76,5.62,88.49
