date,cci,cli
1/1/1959,30.2,27.1
2/1/1959,30.5,27.4
3/1/1959,30.7,27.8
4/1/1959,31,27.9
5/1/1959,31.2,28.2
6/1/1959,31.3,28.3
7/1/1959,31.2,28.4
8/1/1959,30.8,28.3
9/1/1959,30.8,28.3
10/1/1959,30.8,28.2
11/1/1959,30.9,28
12/1/1959,31.5,28.6
1/1/1960,31.8,28.6
2/1/1960,31.8,28.6
3/1/1960,31.7,28.5
4/1/1960,31.8,28.6
5/1/1960,31.7,28.6
6/1/1960,31.6,28.7
7/1/1960,31.5,28.7
8/1/1960,31.5,28.8
9/1/1960,31.5,28.8
10/1/1960,31.5,28.8
11/1/1960,31.3,28.8
12/1/1960,31.1,28.8
1/1/1961,31,29
2/1/1961,31,29.1
3/1/1961,31.2,29.5
4/1/1961,31.3,29.8
5/1/1961,31.5,30.1
6/1/1961,31.7,30.5
7/1/1961,31.8,30.6
8/1/1961,32,31.1
9/1/1961,32.1,31.1
10/1/1961,32.3,31.6
11/1/1961,32.6,32
12/1/1961,32.7,32.3
1/1/1962,32.7,32.3
2/1/1962,32.9,32.7
3/1/1962,33,32.8
4/1/1962,33.2,33
5/1/1962,33.2,33
6/1/1962,33.2,32.9
7/1/1962,33.3,33.1
8/1/1962,33.4,33.3
9/1/1962,33.5,33.4
10/1/1962,33.5,33.5
11/1/1962,33.7,33.9
12/1/1962,33.6,34
1/1/1963,33.7,34.3
2/1/1963,33.9,34.6
3/1/1963,34,34.9
4/1/1963,34.2,35.2
5/1/1963,34.2,35.5
6/1/1963,34.4,35.6
7/1/1963,34.4,35.8
8/1/1963,34.5,36
9/1/1963,34.6,36.3
10/1/1963,34.8,36.6
11/1/1963,34.8,36.7
12/1/1963,35,36.9
1/1/1964,35.1,37.1
2/1/1964,35.3,37.4
3/1/1964,35.4,37.6
4/1/1964,35.6,37.9
5/1/1964,35.8,38.2
6/1/1964,35.9,38.4
7/1/1964,36,38.7
8/1/1964,36.2,39
9/1/1964,36.4,39.3
10/1/1964,36.2,39.4
11/1/1964,36.6,39.7
12/1/1964,36.9,40
1/1/1965,37.1,40.4
2/1/1965,37.2,40.6
3/1/1965,37.5,41
4/1/1965,37.6,41.1
5/1/1965,37.8,41.4
6/1/1965,37.9,41.5
7/1/1965,38.2,41.7
8/1/1965,38.3,41.9
9/1/1965,38.4,42.2
10/1/1965,38.8,42.7
11/1/1965,39,43.1
12/1/1965,39.3,43.4
1/1/1966,39.4,43.6
2/1/1966,39.6,43.9
3/1/1966,39.9,44.3
4/1/1966,40,44.4
5/1/1966,40.1,44.2
6/1/1966,40.4,44.1
7/1/1966,40.5,44
8/1/1966,40.6,43.9
9/1/1966,40.7,43.9
10/1/1966,40.9,43.8
11/1/1966,40.9,43.7
12/1/1966,41,43.7
1/1/1967,41.2,43.9
2/1/1967,41.1,43.7
3/1/1967,41.2,43.9
4/1/1967,41.3,44.1
5/1/1967,41.3,44.4
6/1/1967,41.4,44.8
7/1/1967,41.4,45
8/1/1967,41.7,45.5
9/1/1967,41.7,45.6
10/1/1967,41.8,45.8
11/1/1967,42.2,46.1
12/1/1967,42.5,46.5
1/1/1968,42.4,46.6
2/1/1968,42.7,46.8
3/1/1968,42.8,46.9
4/1/1968,42.9,47
5/1/1968,43.1,47.3
6/1/1968,43.3,47.5
7/1/1968,43.5,47.6
8/1/1968,43.5,47.5
9/1/1968,43.7,48
10/1/1968,43.9,48.3
11/1/1968,44.1,48.4
12/1/1968,44.2,48.4
1/1/1969,44.3,48.5
2/1/1969,44.5,48.7
3/1/1969,44.7,48.8
4/1/1969,44.8,49.1
5/1/1969,44.9,48.8
6/1/1969,45.1,48.6
7/1/1969,45.2,48.3
8/1/1969,45.4,48.1
9/1/1969,45.4,48.3
10/1/1969,45.6,47.9
11/1/1969,45.4,47.7
12/1/1969,45.5,47.5
1/1/1970,45.3,46.9
2/1/1970,45.3,46.6
3/1/1970,45.3,46.3
4/1/1970,45.3,45.9
5/1/1970,45.3,45.8
6/1/1970,45.2,45.9
7/1/1970,45.3,46
8/1/1970,45.3,46.1
9/1/1970,45.2,46.1
10/1/1970,44.8,46
11/1/1970,44.6,46
12/1/1970,45.1,46.6
1/1/1971,45.3,46.8
2/1/1971,45.3,47.3
3/1/1971,45.4,47.7
4/1/1971,45.6,47.9
5/1/1971,45.7,48.2
6/1/1971,45.8,48.3
7/1/1971,45.8,48.5
8/1/1971,45.8,48.6
9/1/1971,46.1,48.8
10/1/1971,46.2,49.1
11/1/1971,46.4,49.3
12/1/1971,46.7,49.8
1/1/1972,47.1,50.3
2/1/1972,47.3,50.9
3/1/1972,47.6,51.3
4/1/1972,47.8,51.6
5/1/1972,48,51.8
