x,x_se_1step_sto_var0,x_se_1step_sto_var1,x_se_1step_sto_vecm,xf_1step_det_var0,xf_1step_det_var1,xf_1step_det_vecm,xf_1step_sto_var0,xf_1step_sto_var1,xf_1step_sto_vecm,y,y_se_1step_sto_var0,y_se_1step_sto_var1,y_se_1step_sto_vecm,yf_1step_det_var0,yf_1step_det_var1,yf_1step_det_vecm,yf_1step_sto_var0,yf_1step_sto_var1,yf_1step_sto_vecm
0,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,0,0,0,0,0
2.135397101,#N/A,#N/A,#N/A,2.135397101,2.135397101,2.135397101,2.135397101,2.135397101,2.135397101,0.940933903,#N/A,#N/A,#N/A,0.940933903,0.940933903,0.940933903,0.940933903,0.940933903,0.940933903
-0.252024393,#N/A,#N/A,#N/A,-0.252024393,-0.252024393,-0.252024393,-0.252024393,-0.252024393,-0.252024393,-0.70868122,#N/A,#N/A,#N/A,-0.70868122,-0.70868122,-0.70868122,-0.70868122,-0.70868122,-0.70868122
-1.827056573,#N/A,#N/A,#N/A,-1.827056573,-1.827056573,-1.827056573,-1.827056573,-1.827056573,-1.827056573,-2.070119007,#N/A,#N/A,#N/A,-2.070119007,-2.070119007,-2.070119007,-2.070119007,-2.070119007,-2.070119007
-2.844543804,#N/A,#N/A,#N/A,-2.844543804,-2.844543804,-2.844543804,-2.844543804,-2.844543804,-2.844543804,-3.21587197,#N/A,#N/A,#N/A,-3.21587197,-3.21587197,-3.21587197,-3.21587197,-3.21587197,-3.21587197
-2.812370752,#N/A,#N/A,#N/A,-2.812370752,-2.812370752,-2.812370752,-2.812370752,-2.812370752,-2.812370752,-2.756358682,#N/A,#N/A,#N/A,-2.756358682,-2.756358682,-2.756358682,-2.756358682,-2.756358682,-2.756358682
-3.779468504,#N/A,#N/A,#N/A,-3.779468504,-3.779468504,-3.779468504,-3.779468504,-3.779468504,-3.779468504,-4.39823088,#N/A,#N/A,#N/A,-4.39823088,-4.39823088,-4.39823088,-4.39823088,-4.39823088,-4.39823088
-5.178978408,#N/A,#N/A,#N/A,-5.178978408,-5.178978408,-5.178978408,-5.178978408,-5.178978408,-5.178978408,-5.211069316,#N/A,#N/A,#N/A,-5.211069316,-5.211069316,-5.211069316,-5.211069316,-5.211069316,-5.211069316
-4.046933994,#N/A,#N/A,#N/A,-4.046933994,-4.046933994,-4.046933994,-4.046933994,-4.046933994,-4.046933994,-4.913853897,#N/A,#N/A,#N/A,-4.913853897,-4.913853897,-4.913853897,-4.913853897,-4.913853897,-4.913853897
-3.026005626,#N/A,#N/A,#N/A,-3.026005626,-3.026005626,-3.026005626,-3.026005626,-3.026005626,-3.026005626,-3.961650105,#N/A,#N/A,#N/A,-3.961650105,-3.961650105,-3.961650105,-3.961650105,-3.961650105,-3.961650105
-4.313630827,#N/A,#N/A,#N/A,-4.313630827,-4.313630827,-4.313630827,-4.313630827,-4.313630827,-4.313630827,-4.08422342,#N/A,#N/A,#N/A,-4.08422342,-4.08422342,-4.08422342,-4.08422342,-4.08422342,-4.08422342
-6.005953721,#N/A,#N/A,#N/A,-6.005953721,-6.005953721,-6.005953721,-6.005953721,-6.005953721,-6.005953721,-3.382142354,#N/A,#N/A,#N/A,-3.382142354,-3.382142354,-3.382142354,-3.382142354,-3.382142354,-3.382142354
-6.765689693,#N/A,#N/A,#N/A,-6.765689693,-6.765689693,-6.765689693,-6.765689693,-6.765689693,-6.765689693,-4.944759498,#N/A,#N/A,#N/A,-4.944759498,-4.944759498,-4.944759498,-4.944759498,-4.944759498,-4.944759498
-2.850288879,#N/A,#N/A,#N/A,-2.850288879,-2.850288879,-2.850288879,-2.850288879,-2.850288879,-2.850288879,-2.299496404,#N/A,#N/A,#N/A,-2.299496404,-2.299496404,-2.299496404,-2.299496404,-2.299496404,-2.299496404
-2.917042618,#N/A,#N/A,#N/A,-2.917042618,-2.917042618,-2.917042618,-2.917042618,-2.917042618,-2.917042618,-3.563218094,#N/A,#N/A,#N/A,-3.563218094,-3.563218094,-3.563218094,-3.563218094,-3.563218094,-3.563218094
-3.958728291,#N/A,#N/A,#N/A,-3.958728291,-3.958728291,-3.958728291,-3.958728291,-3.958728291,-3.958728291,-3.62377465,#N/A,#N/A,#N/A,-3.62377465,-3.62377465,-3.62377465,-3.62377465,-3.62377465,-3.62377465
-1.53010499,#N/A,#N/A,#N/A,-1.53010499,-1.53010499,-1.53010499,-1.53010499,-1.53010499,-1.53010499,-1.436280115,#N/A,#N/A,#N/A,-1.436280115,-1.436280115,-1.436280115,-1.436280115,-1.436280115,-1.436280115
-3.766013559,#N/A,#N/A,#N/A,-3.766013559,-3.766013559,-3.766013559,-3.766013559,-3.766013559,-3.766013559,-2.821868642,#N/A,#N/A,#N/A,-2.821868642,-2.821868642,-2.821868642,-2.821868642,-2.821868642,-2.821868642
