e1,e2,res_m_x,res_m_y,res_x,res_y,x,x_se_1step_sto_mvar1,x_se_1step_sto_mvar4,x_se_1step_sto_var1,x_se_1step_sto_var4,x_se_hsteps_sto_mvar1,x_se_hsteps_sto_mvar4,x_se_hsteps_sto_var1,x_se_hsteps_sto_var4,xf_1step_det_mvar1,xf_1step_det_mvar4,xf_1step_det_var1,xf_1step_det_var4,xf_1step_sto_mvar1,xf_1step_sto_mvar4,xf_1step_sto_var1,xf_1step_sto_var4,xf_hsteps_det_mvar1,xf_hsteps_det_mvar4,xf_hsteps_det_var1,xf_hsteps_det_var4,xf_hsteps_sto_mvar1,xf_hsteps_sto_mvar4,xf_hsteps_sto_var1,xf_hsteps_sto_var4,y,y_se_1step_sto_mvar1,y_se_1step_sto_mvar4,y_se_1step_sto_var1,y_se_1step_sto_var4,y_se_hsteps_sto_mvar1,y_se_hsteps_sto_mvar4,y_se_hsteps_sto_var1,y_se_hsteps_sto_var4,yf_1step_det_mvar1,yf_1step_det_mvar4,yf_1step_det_var1,yf_1step_det_var4,yf_1step_sto_mvar1,yf_1step_sto_mvar4,yf_1step_sto_var1,yf_1step_sto_var4,yf_hsteps_det_mvar1,yf_hsteps_det_mvar4,yf_hsteps_det_var1,yf_hsteps_det_var4,yf_hsteps_sto_mvar1,yf_hsteps_sto_mvar4,yf_hsteps_sto_var1,yf_hsteps_sto_var4
-1.255110888,-2.123611244,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.715706038,-0.006652218,#N/A,#N/A,#N/A,#N/A,0.993347782,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,0.993347782,1.719032148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148,1.719032148
0.2540064,-0.673173104,#N/A,#N/A,#N/A,#N/A,1.854920076,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,1.854920076,2.965818669,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669,2.965818669
-1.296054474,0.270107622,#N/A,#N/A,#N/A,#N/A,3.977058862,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,3.977058862,1.94154665,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665,1.94154665
0.939247734,-0.14246701,#N/A,#N/A,#N/A,#N/A,4.010990411,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,4.010990411,3.563718559,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559,3.563718559
-0.569076571,-0.007644587,#N/A,#N/A,#N/A,#N/A,5.136081754,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,5.136081754,3.285720569,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569,3.285720569
-0.230667937,0.71734515,#N/A,#N/A,#N/A,#N/A,6.256818368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,6.256818368,3.039235944,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944,3.039235944
-2.18872667,-0.511405956,#N/A,#N/A,#N/A,#N/A,5.440544795,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,5.440544795,1.498365062,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062,1.498365062
-1.550600212,0.148846161,#N/A,#N/A,#N/A,#N/A,4.768137596,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,4.768137596,0.573668757,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757,0.573668757
-1.404807036,-0.751079965,#N/A,#N/A,#N/A,#N/A,2.977190087,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,2.977190087,0.429667952,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952,0.429667952
